emoji,en,clean_en,zh-TW
🔝,:TOP_arrow:,TOP arrow,頂部箭頭
🇹🇼,:Taiwan:,Taiwan,台灣
🇹🇭,:Thailand:,Thailand,泰國
🇬🇧,:United_Kingdom:,United Kingdom,英國
🇺🇸,:United_States:,United States,美國
🆚,:VS_button:,VS button,對戰按鈕
💤,:ZZZ:,ZZZ,ZZZ
🧮,:abacus:,abacus,算盤
🩹,:adhesive_bandage:,adhesive bandage,粘性繃帶
🎟,:admission_tickets:,admission tickets,門票
✈️,:airplane:,airplane,飛機
⏰,:alarm_clock:,alarm clock,鬧鐘
⚗️,:alembic:,alembic,蒸餾器
⚗,:alembic:,alembic,蒸餾器
👽,:alien:,alien,外星人
🚑,:ambulance:,ambulance,救護車
⚓,:anchor:,anchor,錨
💢,:anger_symbol:,anger symbol,憤怒符號
😠,:angry_face:,angry face,憤怒的臉
👿,:angry_face_with_horns:,angry face with horns,有角的生氣臉
😧,:anguished_face:,anguished face,痛苦的臉
🐜,:ant:,ant,螞蟻
😰,:anxious_face_with_sweat:,anxious face with sweat,焦急的臉上滿是汗水
🚛,:articulated_lorry:,articulated lorry,鉸接式貨車
🎨,:artist_palette:,artist palette,藝術家調色板
😲,:astonished_face:,astonished face,驚訝的臉
🛺,:auto_rickshaw:,auto rickshaw,自動人力車
🚗,:automobile:,automobile,汽車
🥑,:avocado:,avocado,牛油果
🪓,:axe:,axe,斧頭
👶,:baby:,baby,嬰兒
👼,:baby_angel:,baby angel,寶貝天使
👼🏻,:baby_angel_light_skin_tone:,baby angel light skin tone,小天使淺膚色
🍼,:baby_bottle:,baby bottle,嬰兒奶瓶
🐤,:baby_chick:,baby chick,小雞
👶🏻,:baby_light_skin_tone:,baby light skin tone,嬰兒淺膚色
👶🏾,:baby_medium-dark_skin_tone:,baby medium-dark skin tone,嬰兒中等-深膚色
👶🏼,:baby_medium-light_skin_tone:,baby medium-light skin tone,嬰兒中淺膚色
👇,:backhand_index_pointing_down:,backhand index pointing down,反手指數向下
👇🏿,:backhand_index_pointing_down_dark_skin_tone:,backhand index pointing down dark skin tone,反手食指朝下深色膚色
👇🏻,:backhand_index_pointing_down_light_skin_tone:,backhand index pointing down light skin tone,反手指數指向下淺膚色
👇🏼,:backhand_index_pointing_down_medium-light_skin_tone:,backhand index pointing down medium-light skin tone,反手食指朝下 中淺膚色
👈,:backhand_index_pointing_left:,backhand index pointing left,反手食指向左
👈🏻,:backhand_index_pointing_left_light_skin_tone:,backhand index pointing left light skin tone,反手食指指向左側淺膚色
👈🏼,:backhand_index_pointing_left_medium-light_skin_tone:,backhand index pointing left medium-light skin tone,反手食指指向左側中淺膚色
👉,:backhand_index_pointing_right:,backhand index pointing right,反手指數指向右
👉🏻,:backhand_index_pointing_right_light_skin_tone:,backhand index pointing right light skin tone,反手食指指向右側淺膚色
👉🏼,:backhand_index_pointing_right_medium-light_skin_tone:,backhand index pointing right medium-light skin tone,反手食指指向右 中淺膚色
👉🏽,:backhand_index_pointing_right_medium_skin_tone:,backhand index pointing right medium skin tone,反手指數指向右 中等膚色
👆,:backhand_index_pointing_up:,backhand index pointing up,反手指數朝上
👆🏿,:backhand_index_pointing_up_dark_skin_tone:,backhand index pointing up dark skin tone,反手食指朝上 深色膚色
👆🏻,:backhand_index_pointing_up_light_skin_tone:,backhand index pointing up light skin tone,反手指數朝上淺膚色
👆🏼,:backhand_index_pointing_up_medium-light_skin_tone:,backhand index pointing up medium-light skin tone,反手指數朝上 中淺膚色
🎒,:backpack:,backpack,背包
🥓,:bacon:,bacon,熏肉
🏸,:badminton:,badminton,羽毛球
🥯,:bagel:,bagel,百吉餅
🥖,:baguette_bread:,baguette bread,長棍麵包
⚖️,:balance_scale:,balance scale,天平
🩰,:ballet_shoes:,ballet shoes,芭蕾舞鞋
🎈,:balloon:,balloon,氣球
🍌,:banana:,banana,香蕉
💈,:barber_pole:,barber pole,理髮店招牌
⚾,:baseball:,baseball,棒球
🧺,:basket:,basket,籃子
🏀,:basketball:,basketball,籃球
🛁,:bathtub:,bathtub,浴缸
🔋,:battery:,battery,電池
🏖️,:beach_with_umbrella:,beach with umbrella,有傘的海灘
🏖,:beach_with_umbrella:,beach with umbrella,有傘的海灘
😁,:beaming_face_with_smiling_eyes:,beaming face with smiling eyes,笑眼盈盈
🐻,:bear:,bear,熊
💓,:beating_heart:,beating heart,跳動的心
🛏️,:bed:,bed,床
🛏,:bed:,bed,床
🍺,:beer_mug:,beer mug,啤酒杯
🔔,:bell:,bell,鐘
🛎️,:bellhop_bell:,bellhop bell,侍者鈴
🍱,:bento_box:,bento box,便當盒
🧃,:beverage_box:,beverage box,飲料盒
👙,:bikini:,bikini,比基尼
🧢,:billed_cap:,billed cap,嘴帽
🐦,:bird:,bird,鳥
🎂,:birthday_cake:,birthday cake,生日蛋糕
🐈‍⬛,:black_cat:,black cat,黑貓
⚫,:black_circle:,black circle,黑圈
🖤,:black_heart:,black heart,黑心
✒,:black_nib:,black nib,黑色筆尖
▪️,:black_small_square:,black small square,黑色小方塊
▪,:black_small_square:,black small square,黑色小方塊
🌼,:blossom:,blossom,開花
🐡,:blowfish:,blowfish,河豚
🔵,:blue_circle:,blue circle,藍色圓圈
💙,:blue_heart:,blue heart,藍色的心
🫐,:blueberries:,blueberries,藍莓
🐗,:boar:,boar,公豬
💣,:bomb:,bomb,炸彈
🍾,:bottle_with_popping_cork:,bottle with popping cork,爆裂瓶
💐,:bouquet:,bouquet,花束
🥣,:bowl_with_spoon:,bowl with spoon,帶勺子的碗
🥊,:boxing_glove:,boxing glove,拳擊手套
👦,:boy:,boy,男生
👦🏿,:boy_dark_skin_tone:,boy dark skin tone,男孩深色膚色
👦🏻,:boy_light_skin_tone:,boy light skin tone,男孩淺膚色
👦🏾,:boy_medium-dark_skin_tone:,boy medium-dark skin tone,男孩中等-深膚色
👦🏽,:boy_medium_skin_tone:,boy medium skin tone,男孩中等膚色
🧠,:brain:,brain,腦
🍞,:bread:,bread,麵包
🤱,:breast-feeding:,breast-feeding,哺乳
🔆,:bright_button:,bright button,明亮的按鈕
💔,:broken_heart:,broken heart,破碎的心
🤎,:brown_heart:,brown heart,棕色的心
🧋,:bubble_tea:,bubble tea,珍珠奶茶
🫧,:bubbles:,bubbles,氣泡
🐛,:bug:,bug,漏洞
🚅,:bullet_train:,bullet train,子彈頭列車
🌯,:burrito:,burrito,捲餅
🚌,:bus:,bus,公共汽車
🦋,:butterfly:,butterfly,蝴蝶
🌵,:cactus:,cactus,仙人掌
📅,:calendar:,calendar,日曆
🤙,:call_me_hand:,call me hand,叫我手
🤙🏻,:call_me_hand_light_skin_tone:,call me hand light skin tone,叫我手淺膚色
🤙🏼,:call_me_hand_medium-light_skin_tone:,call me hand medium-light skin tone,叫我的手 中淺膚色
🤙🏽,:call_me_hand_medium_skin_tone:,call me hand medium skin tone,叫我手中等膚色
📷,:camera:,camera,相機
📸,:camera_with_flash:,camera with flash,帶閃光燈的相機
🏕️,:camping:,camping,野營
🏕,:camping:,camping,野營
🕯️,:candle:,candle,蠟燭
🕯,:candle:,candle,蠟燭
🍬,:candy:,candy,糖果
🛶,:canoe:,canoe,獨木舟
🎠,:carousel_horse:,carousel horse,旋轉木馬
🥕,:carrot:,carrot,胡蘿蔔
🏰,:castle:,castle,城堡
🐈,:cat:,cat,貓
🐱,:cat_face:,cat face,貓臉
😹,:cat_with_tears_of_joy:,cat with tears of joy,貓流著喜悅的淚水
😼,:cat_with_wry_smile:,cat with wry smile,苦笑的貓
📉,:chart_decreasing:,chart decreasing,圖表減少
📈,:chart_increasing:,chart increasing,圖表增加
☑️,:check_box_with_check:,check box with check,複選框與檢查
☑,:check_box_with_check:,check box with check,複選框與檢查
✔️,:check_mark:,check mark,複選標記
✔,:check_mark:,check mark,複選標記
✅,:check_mark_button:,check mark button,複選標記按鈕
🧀,:cheese_wedge:,cheese wedge,奶酪角
🏁,:chequered_flag:,chequered flag,方格旗
🍒,:cherries:,cherries,櫻桃
🌸,:cherry_blossom:,cherry blossom,櫻花
♟️,:chess_pawn:,chess pawn,棋子
♟,:chess_pawn:,chess pawn,棋子
🌰,:chestnut:,chestnut,板栗
🐔,:chicken:,chicken,雞
🐿️,:chipmunk:,chipmunk,花栗鼠
🐿,:chipmunk:,chipmunk,花栗鼠
🍫,:chocolate_bar:,chocolate bar,巧克力吧
🥢,:chopsticks:,chopsticks,筷子
🚬,:cigarette:,cigarette,香煙
🎬,:clapper_board:,clapper board,拍板
👏,:clapping_hands:,clapping hands,拍手
👏🏻,:clapping_hands_light_skin_tone:,clapping hands light skin tone,拍手 淺膚色
🏛️,:classical_building:,classical building,古典建築
🍻,:clinking_beer_mugs:,clinking beer mugs,叮噹響的啤酒杯
🥂,:clinking_glasses:,clinking glasses,碰杯
🌂,:closed_umbrella:,closed umbrella,閉合的傘
☁️,:cloud:,cloud,雲
☁,:cloud:,cloud,雲
⛈,:cloud_with_lightning_and_rain:,cloud with lightning and rain,雲與閃電和雨
🌧️,:cloud_with_rain:,cloud with rain,云有雨
🌧,:cloud_with_rain:,cloud with rain,云有雨
🌨,:cloud_with_snow:,cloud with snow,有雪的雲
🤡,:clown_face:,clown face,小丑臉
🧥,:coat:,coat,外套
🍸,:cocktail_glass:,cocktail glass,雞尾酒杯
⚰️,:coffin:,coffin,棺材
🥶,:cold_face:,cold face,冷臉
💥,:collision:,collision,碰撞
☄️,:comet:,comet,彗星
☄,:comet:,comet,彗星
🎊,:confetti_ball:,confetti ball,五彩紙屑球
😖,:confounded_face:,confounded face,困惑的臉
😕,:confused_face:,confused face,困惑的臉
👷,:construction_worker:,construction worker,建築工人
🍚,:cooked_rice:,cooked rice,熟米飯
🍪,:cookie:,cookie,曲奇餅
🍳,:cooking:,cooking,烹飪
©️,:copyright:,copyright,版權
©,:copyright:,copyright,版權
🛋️,:couch_and_lamp:,couch and lamp,沙發和燈
🔄,:counterclockwise_arrows_button:,counterclockwise arrows button,逆時針箭頭按鈕
💑,:couple_with_heart:,couple with heart,夫婦與心
👩‍❤️‍👨,:couple_with_heart_woman_man:,couple with heart woman man,夫婦與心臟女人男人
👩🏻‍❤️‍👨🏻,:couple_with_heart_woman_man_light_skin_tone:,couple with heart woman man light skin tone,夫妻心女男淺膚色
👩‍❤️‍👩,:couple_with_heart_woman_woman:,couple with heart woman woman,夫婦與心臟女人女人
🐄,:cow:,cow,奶牛
🐮,:cow_face:,cow face,牛臉
🤠,:cowboy_hat_face:,cowboy hat face,牛仔帽臉
🦀,:crab:,crab,螃蟹
🖍,:crayon:,crayon,蠟筆
🌙,:crescent_moon:,crescent moon,新月
🐊,:crocodile:,crocodile,鱷魚
🥐,:croissant:,croissant,羊角麵包
❌,:cross_mark:,cross mark,十字標記
❎,:cross_mark_button:,cross mark button,十字標記按鈕
🤞,:crossed_fingers:,crossed fingers,交叉手指
⚔️,:crossed_swords:,crossed swords,十字劍
⚔,:crossed_swords:,crossed swords,十字劍
👑,:crown:,crown,王冠
😿,:crying_cat:,crying cat,哭泣的貓
😢,:crying_face:,crying face,哭臉
🔮,:crystal_ball:,crystal ball,水晶球
🥒,:cucumber:,cucumber,黃瓜
🥤,:cup_with_straw:,cup with straw,帶吸管的杯子
🧁,:cupcake:,cupcake,紙杯蛋糕
➰,:curly_loop:,curly loop,捲曲循環
🍛,:curry_rice:,curry rice,咖哩飯
🍮,:custard:,custard,卡仕達醬
🥩,:cut_of_meat:,cut of meat,切肉
🗡,:dagger:,dagger,匕首
🍡,:dango:,dango,團子
💨,:dashing_away:,dashing away,飛奔而去
🧏‍♂️,:deaf_man:,deaf man,聾人
🧏🏻‍♂️,:deaf_man_light_skin_tone:,deaf man light skin tone,聾人淺膚色
🧏‍♀️,:deaf_woman:,deaf woman,聾女人
🧏🏻‍♀️,:deaf_woman_light_skin_tone:,deaf woman light skin tone,聾啞女人淺膚色
🌳,:deciduous_tree:,deciduous tree,落葉喬木
🦌,:deer:,deer,鹿
🚚,:delivery_truck:,delivery truck,送貨卡車
🏬,:department_store:,department store,百貨商店
🏝️,:desert_island:,desert island,沙漠荒島
🏝,:desert_island:,desert island,沙漠荒島
🖥,:desktop_computer:,desktop computer,台式電腦
♦,:diamond_suit:,diamond suit,鑽石套裝
🔅,:dim_button:,dim button,暗按鈕
😞,:disappointed_face:,disappointed face,失望的臉
🥸,:disguised_face:,disguised face,偽裝的臉
➗,:divide:,divide,劃分
🤿,:diving_mask:,diving mask,潛水面具
🪔,:diya_lamp:,diya lamp,地亞燈
💫,:dizzy:,dizzy,暈眩的
🐕,:dog:,dog,狗
🐶,:dog_face:,dog face,狗臉
🐬,:dolphin:,dolphin,海豚
🚪,:door:,door,門
🔯,:dotted_six-pointed_star:,dotted six-pointed star,點狀六角星
‼️,:double_exclamation_mark:,double exclamation mark,雙感嘆號
‼,:double_exclamation_mark:,double exclamation mark,雙感嘆號
🍩,:doughnut:,doughnut,油炸圈餅
🕊,:dove:,dove,鴿子
⬇️,:down_arrow:,down arrow,向下箭頭
😓,:downcast_face_with_sweat:,downcast face with sweat,垂頭喪氣的臉
🔽,:downwards_button:,downwards button,向下按鈕
🐉,:dragon:,dragon,龍
🐲,:dragon_face:,dragon face,龍臉
👗,:dress:,dress,裙子
🤤,:drooling_face:,drooling face,流口水的臉
🩸,:drop_of_blood:,drop of blood,一滴血
💧,:droplet:,droplet,水滴
🥁,:drum:,drum,鼓
🦆,:duck:,duck,鴨子
🥟,:dumpling:,dumpling,餃子
🦅,:eagle:,eagle,鷹
👂,:ear:,ear,耳朵
🥚,:egg:,egg,蛋
🐘,:elephant:,elephant,大象
😡,:enraged_face:,enraged face,憤怒的臉
✉️,:envelope:,envelope,信封
📩,:envelope_with_arrow:,envelope with arrow,帶箭頭的信封
🌲,:evergreen_tree:,evergreen tree,常青樹
🐑,:ewe:,ewe,母羊
⁉️,:exclamation_question_mark:,exclamation question mark,感嘆問號
🤯,:exploding_head:,exploding head,爆炸頭
😑,:expressionless_face:,expressionless face,面無表情
👁️,:eye:,eye,眼睛
👁,:eye:,eye,眼睛
👀,:eyes:,eyes,眼睛
😘,:face_blowing_a_kiss:,face blowing a kiss,飛吻
😮‍💨,:face_exhaling:,face exhaling,臉呼氣
🥹,:face_holding_back_tears:,face holding back tears,強忍淚水的臉
😶‍🌫️,:face_in_clouds:,face in clouds,面對雲
😋,:face_savoring_food:,face savoring food,面對美食
😱,:face_screaming_in_fear:,face screaming in fear,嚇得尖叫的臉
🤮,:face_vomiting:,face vomiting,臉嘔吐
😵,:face_with_crossed-out_eyes:,face with crossed-out eyes,眼睛打叉的臉
🤭,:face_with_hand_over_mouth:,face with hand over mouth,手摀臉
🤕,:face_with_head-bandage:,face with head-bandage,頭帶繃帶的臉
😷,:face_with_medical_mask:,face with medical mask,戴著醫用口罩的臉
🧐,:face_with_monocle:,face with monocle,面對單片眼鏡
🫢,:face_with_open_eyes_and_hand_over_mouth:,face with open eyes and hand over mouth,睜開眼睛，用手摀住嘴巴
😮,:face_with_open_mouth:,face with open mouth,張開嘴巴面對
🫣,:face_with_peeking_eye:,face with peeking eye,偷看的臉
🤨,:face_with_raised_eyebrow:,face with raised eyebrow,揚眉的臉
🙄,:face_with_rolling_eyes:,face with rolling eyes,翻白眼
😵‍💫,:face_with_spiral_eyes:,face with spiral eyes,長著螺旋眼睛的臉
😤,:face_with_steam_from_nose:,face with steam from nose,臉上有蒸汽從鼻子裡冒出來
🤬,:face_with_symbols_on_mouth:,face with symbols on mouth,嘴上有符號的臉
😂,:face_with_tears_of_joy:,face with tears of joy,滿臉喜悅的淚水
🤒,:face_with_thermometer:,face with thermometer,面對溫度計
😛,:face_with_tongue:,face with tongue,用舌頭面對
😶,:face_without_mouth:,face without mouth,沒有嘴巴的臉
🧚,:fairy:,fairy,仙女
🧚🏻,:fairy_light_skin_tone:,fairy light skin tone,仙女般的淺膚色
🧆,:falafel:,falafel,沙拉三明治
🍂,:fallen_leaf:,fallen leaf,落葉
👨‍👧,:family_man_girl:,family man girl,家庭男人女孩
👨‍👩‍👦,:family_man_woman_boy:,family man woman boy,家庭男人女人男孩
👨‍👩‍👦‍👦,:family_man_woman_boy_boy:,family man woman boy boy,家庭男人女人男孩男孩
👨‍👩‍👧,:family_man_woman_girl:,family man woman girl,家庭男人女人女孩
👨‍👩‍👧‍👦,:family_man_woman_girl_boy:,family man woman girl boy,家庭男人女人女孩男孩
👨‍👩‍👧‍👧,:family_man_woman_girl_girl:,family man woman girl girl,家庭男人女人女孩女孩
⏩,:fast-forward_button:,fast-forward button,快進按鈕
⏬,:fast_down_button:,fast down button,快速下降按鈕
😨,:fearful_face:,fearful face,恐懼的臉
🪶,:feather:,feather,羽毛
🎡,:ferris_wheel:,ferris wheel,摩天輪
🎞,:film_frames:,film frames,電影幀
📽,:film_projector:,film projector,放映機
🔥,:fire:,fire,火
🚒,:fire_engine:,fire engine,消防車
🧯,:fire_extinguisher:,fire extinguisher,滅火器
🧨,:firecracker:,firecracker,鞭炮
🎆,:fireworks:,fireworks,煙花
🌛,:first_quarter_moon_face:,first quarter moon face,上弦月臉
🐟,:fish:,fish,魚
🍥,:fish_cake_with_swirl:,fish cake with swirl,帶漩渦的魚糕
🎣,:fishing_pole:,fishing pole,釣魚竿
🕔,:five_o’clock:,five o’clock,五點鐘
⛳,:flag_in_hole:,flag in hole,洞中的旗幟
💪,:flexed_biceps:,flexed biceps,彎曲的二頭肌
💪🏻,:flexed_biceps_light_skin_tone:,flexed biceps light skin tone,彎曲的二頭肌淺膚色
💪🏼,:flexed_biceps_medium-light_skin_tone:,flexed biceps medium-light skin tone,彎曲的二頭肌中淺膚色
💪🏽,:flexed_biceps_medium_skin_tone:,flexed biceps medium skin tone,彎曲的二頭肌中等膚色
😳,:flushed_face:,flushed face,臉紅了
🥏,:flying_disc:,flying disc,飛盤
🛸,:flying_saucer:,flying saucer,飛碟
🌫,:fog:,fog,多霧路段
🌁,:foggy:,foggy,有霧
🙏,:folded_hands:,folded hands,雙手合十
🙏🏻,:folded_hands_light_skin_tone:,folded hands light skin tone,雙手合十 淺膚色
🙏🏾,:folded_hands_medium-dark_skin_tone:,folded hands medium-dark skin tone,雙手合十-中深膚色
🙏🏼,:folded_hands_medium-light_skin_tone:,folded hands medium-light skin tone,雙手合十 中淺膚色
🙏🏽,:folded_hands_medium_skin_tone:,folded hands medium skin tone,雙手合十 中等膚色
🦶,:foot:,foot,腳
👣,:footprints:,footprints,腳印
🍴,:fork_and_knife:,fork and knife,刀叉
🍽️,:fork_and_knife_with_plate:,fork and knife with plate,帶盤子的刀叉
🍽,:fork_and_knife_with_plate:,fork and knife with plate,帶盤子的刀叉
🖋,:fountain_pen:,fountain pen,鋼筆
🍀,:four_leaf_clover:,four leaf clover,四葉草
🕓,:four_o’clock:,four o’clock,四點鐘
🦊,:fox:,fox,狐狸
🖼,:framed_picture:,framed picture,帶框的圖片
🍟,:french_fries:,french fries,炸薯條
🍤,:fried_shrimp:,fried shrimp,炒蝦仁
🐸,:frog:,frog,青蛙
🐥,:front-facing_baby_chick:,front-facing baby chick,正面小雞
☹️,:frowning_face:,frowning face,皺眉的臉
😦,:frowning_face_with_open_mouth:,frowning face with open mouth,皺著眉頭張開嘴巴
⛽,:fuel_pump:,fuel pump,燃油泵
🌕,:full_moon:,full moon,滿月
🌝,:full_moon_face:,full moon face,滿月臉
🧄,:garlic:,garlic,蒜
💎,:gem_stone:,gem stone,寶石
👻,:ghost:,ghost,鬼
🦒,:giraffe:,giraffe,長頸鹿
👧,:girl:,girl,女孩
👧🏻,:girl_light_skin_tone:,girl light skin tone,女孩淺膚色
🥛,:glass_of_milk:,glass of milk,一杯牛奶
👓,:glasses:,glasses,眼鏡
🌏,:globe_showing_Asia-Australia:,globe showing Asia-Australia,顯示亞洲-澳大利亞的地球儀
🌍,:globe_showing_Europe-Africa:,globe showing Europe-Africa,顯示歐洲-非洲的地球儀
🧤,:gloves:,gloves,手套
🌟,:glowing_star:,glowing star,發光的星星
🐐,:goat:,goat,山羊
👺,:goblin:,goblin,地精
🦍,:gorilla:,gorilla,大猩猩
🎓,:graduation_cap:,graduation cap,畢業帽
🍇,:grapes:,grapes,葡萄
🍏,:green_apple:,green apple,青蘋果
📗,:green_book:,green book,綠皮書
🟢,:green_circle:,green circle,綠色圓圈
💚,:green_heart:,green heart,綠心
🥗,:green_salad:,green salad,綠色的沙拉
😬,:grimacing_face:,grimacing face,鬼臉
😺,:grinning_cat:,grinning cat,咧著嘴笑的貓
😸,:grinning_cat_with_smiling_eyes:,grinning cat with smiling eyes,微笑的眼睛咧嘴笑的貓
😀,:grinning_face:,grinning face,笑臉
😃,:grinning_face_with_big_eyes:,grinning face with big eyes,大眼睛笑臉
😄,:grinning_face_with_smiling_eyes:,grinning face with smiling eyes,笑容滿面的眼睛
😅,:grinning_face_with_sweat:,grinning face with sweat,汗流浹背的笑臉
😆,:grinning_squinting_face:,grinning squinting face,咧著嘴笑的臉
💗,:growing_heart:,growing heart,成長的心
💂,:guard:,guard,警衛
🍔,:hamburger:,hamburger,漢堡包
🔨,:hammer:,hammer,錘子
🐹,:hamster:,hamster,倉鼠
🖐️,:hand_with_fingers_splayed:,hand with fingers splayed,張開手指的手
🖐,:hand_with_fingers_splayed:,hand with fingers splayed,張開手指的手
🖐🏻,:hand_with_fingers_splayed_light_skin_tone:,hand with fingers splayed light skin tone,手指張開的手淺膚色
🫰🏻,:hand_with_index_finger_and_thumb_crossed_light_skin_tone:,hand with index finger and thumb crossed light skin tone,食指和拇指交叉的手 淺膚色
🫰🏾,:hand_with_index_finger_and_thumb_crossed_medium-dark_skin_tone:,hand with index finger and thumb crossed medium-dark skin tone,食指和拇指交叉的手中深膚色
👜,:handbag:,handbag,手提包
🤝,:handshake:,handshake,握手
🐣,:hatching_chick:,hatching chick,孵化小雞
🎧,:headphone:,headphone,耳機
🙉,:hear-no-evil_monkey:,hear-no-evil monkey,不聽邪言的猴子
💟,:heart_decoration:,heart decoration,心形裝飾
❣️,:heart_exclamation:,heart exclamation,心驚呼
❣,:heart_exclamation:,heart exclamation,心驚呼
🫶,:heart_hands:,heart hands,心手
🫶🏿,:heart_hands_dark_skin_tone:,heart hands dark skin tone,心形手深色膚色
🫶🏻,:heart_hands_light_skin_tone:,heart hands light skin tone,心形手淺膚色
🫶🏾,:heart_hands_medium-dark_skin_tone:,heart hands medium-dark skin tone,心形手中深膚色
❤️‍🔥,:heart_on_fire:,heart on fire,心臟著火
♥️,:heart_suit:,heart suit,心套裝
♥,:heart_suit:,heart suit,心套裝
💘,:heart_with_arrow:,heart with arrow,帶箭頭的心
💝,:heart_with_ribbon:,heart with ribbon,帶絲帶的心
💲,:heavy_dollar_sign:,heavy dollar sign,沉重的美元符號
🦔,:hedgehog:,hedgehog,刺猬
🚁,:helicopter:,helicopter,直升機
🌿,:herb:,herb,草本植物
🌺,:hibiscus:,hibiscus,木槿
👠,:high-heeled_shoe:,high-heeled shoe,高跟鞋
🚄,:high-speed_train:,high-speed train,高速火車
⚡,:high_voltage:,high voltage,高壓
🥾,:hiking_boot:,hiking boot,登山靴
🛕,:hindu_temple:,hindu temple,印度教寺廟
🦛,:hippopotamus:,hippopotamus,河馬
🕳️,:hole:,hole,洞
⭕,:hollow_red_circle:,hollow red circle,空心紅圈
🍯,:honey_pot:,honey pot,蜜罐
🐝,:honeybee:,honeybee,蜜蜂
🐎,:horse:,horse,馬
🏥,:hospital:,hospital,醫院
☕,:hot_beverage:,hot beverage,熱飲
🥵,:hot_face:,hot face,燙臉
🌶️,:hot_pepper:,hot pepper,辣椒
🌶,:hot_pepper:,hot pepper,辣椒
♨️,:hot_springs:,hot springs,溫泉
♨,:hot_springs:,hot springs,溫泉
⌛,:hourglass_done:,hourglass done,沙漏完成
⏳,:hourglass_not_done:,hourglass not done,沙漏未完成
🏠,:house:,house,房子
🏡,:house_with_garden:,house with garden,帶花園的房子
💯,:hundred_points:,hundred points,百分
😯,:hushed_face:,hushed face,沉默的臉
🧊,:ice:,ice,冰
☝️,:index_pointing_up:,index pointing up,指數向上
☝🏻,:index_pointing_up_light_skin_tone:,index pointing up light skin tone,指數朝上淺膚色
☝🏼,:index_pointing_up_medium-light_skin_tone:,index pointing up medium-light skin tone,指數朝上 中淺膚色
ℹ️,:information:,information,信息
🎃,:jack-o-lantern:,jack-o-lantern,南瓜燈
👖,:jeans:,jeans,牛仔褲
🃏,:joker:,joker,小丑
⌨️,:keyboard:,keyboard,鍵盤
*️⃣,:keycap_*:,keycap *,鍵帽*
0️⃣,:keycap_0:,keycap 0,鍵帽 0
1️⃣,:keycap_1:,keycap 1,鍵帽1
1⃣,:keycap_1:,keycap 1,鍵帽1
🔟,:keycap_10:,keycap 10,鍵帽 10
